Customer_ID,Customer_Name,Email,Location,Registration_Date,Product_ID,Order_ID,Order_Amount,Order_Quantity,Payment_Method,Registration_Year,Registration_Month,Region
639c6642-5845-4987-b392-aee9730250e1,Shawn Brown,marycrawford@nelson.org,Equatorial Guinea,2025-01-24 00:00:00,PID-3175,OID-50098,346.62,6,PayPal,2025,1,Other
b162751c-58b1-4047-ae02-34feba337c1f,Marissa Burgess,vhall@morrow-chandler.com,Belgium,2024-07-27 00:00:00,PID-9181,OID-96603,148.93,8,Bank Transfer,2024,7,Other
7398235d-1787-40e4-a9e1-16c4a6e91ffd,Anthony Nguyen,lweber@ramsey.info,Sierra Leone,2024-04-05 00:00:00,PID-5535,OID-23440,478.12,6,PayPal,2024,4,Other
5210dc85-1364-497a-a340-077114b14f6f,Dr. Jackie Taylor,jcampbell@sherman.com,Croatia,2023-08-02 00:00:00,PID-3237,OID-68895,380.69,2,Bank Transfer,2023,8,Other
952aedac-3647-4b6c-a8d8-86421f20a971,William Lopez,sierrabeasley@yahoo.com,Mali,2022-12-02 00:00:00,PID-4954,OID-56716,19.1,1,Crypto,2022,12,Other
3635f047-0532-44fe-80ca-cb7ac7fd34c0,James Kelly,mary91@franco.info,Iceland,2025-02-12 00:00:00,PID-2764,OID-13919,252.23,5,PayPal,2025,2,Other
8087defc-e38b-4a7f-9b98-7d07b37b14dc,Jose Ramos,petersonmichael@wilson-hill.com,Nauru,2024-02-06 00:00:00,PID-8819,OID-89217,308.3,2,Bank Transfer,2024,2,Other
324af74d-3fc5-48d3-ac84-d85bf9dc2bd1,Susan Lloyd,jonathanbowers@gmail.com,Timor-Leste,2024-12-29 00:00:00,PID-7997,OID-41306,303.38,7,Crypto,2024,12,Other
9781cc88-ad73-489c-81ad-7862093456d0,Heather Mcbride,mitchellhannah@hotmail.com,Mozambique,2024-03-01 00:00:00,PID-8144,OID-81209,175.83,1,PayPal,2024,3,Other
e8357041-acce-4c84-9987-1fdd98517a73,Rita King,rthomas@anderson.com,Macao,2023-02-17 00:00:00,PID-9820,OID-64252,424.99,3,Crypto,2023,2,Other
88e66452-9402-4c2f-a1f6-1c56905ef346,Sean Russell,anthonyhuang@day.net,Korea,2023-07-15 00:00:00,PID-8157,OID-12272,439.14,1,Crypto,2023,7,Other
96540712-2562-4fe0-80ea-51123280289e,Jacob Walsh,thomasmyers@yahoo.com,Sweden,2024-05-18 00:00:00,PID-5729,OID-46853,265.3,2,PayPal,2024,5,Other
5cdee6a9-3d6f-472b-afe8-279c93da54c2,Steven Raymond,hdawson@yahoo.com,China,2025-04-14 00:00:00,PID-2957,OID-79775,372.33,10,Credit Card,2025,4,Asia
4540ddde-a613-4148-8b59-f562f1fac6b6,William Weiss,ihall@castillo.com,Cayman Islands,2024-10-22 00:00:00,PID-7071,OID-20614,332.82,3,Credit Card,2024,10,Other
ab87daa0-53ba-40f3-b5ef-6efb81b7a730,Lisa Guerrero,bradleyangel@yahoo.com,Bosnia and Herzegovina,2022-08-23 00:00:00,PID-5706,OID-17624,162.5,3,Crypto,2022,8,Other
f3dd6ede-76b4-45be-befc-37888eb78312,Timothy Stone,wesley49@hotmail.com,Norway,2024-08-04 00:00:00,PID-8367,OID-80226,36.18,4,Credit Card,2024,8,Other
